state,ppnumb,pop,pop1mil,ppprop,hiv,std,sexed,hived,teenbirth,matmort,cervcanc
Alabama,2,"5,031,362",5.031362,0.397506679,341.6,857.2,0,1,25.2,11.5,3.1
Alaska,3,"732,923",0.732923,4.093199422,121.7,990.8,0,0,19.3,8.7,1.7
Arizona,7,"7,179,943",7.179943,0.974938102,282.9,756.8,0,0,20.1,15.1,2
Arkansas,2,"3,014,195",3.014195,0.663527078,239.3,808.9,0,0,30.4,19.6,3.2
California,113,"39,501,653",39.501653,2.860639781,406,670.2,1,1,13.6,4.5,2.2
Colorado,13,"5,784,865",5.784865,2.247243453,269.1,633.2,0,0,14.3,15,1.5
Connecticut,14,"3,597,362",3.597362,3.89174067,345.4,493.7,0,1,8.3,7.3,1.3
Delaware,4,"992,114",0.992114,4.031794733,409,662.9,1,1,16.7,11.9,2.2
Florida,18,"21,589,602",21.589602,0.833734684,612.5,672,1,0,16.7,10,2.7
Georgia,4,"10,729,828",10.729828,0.372792555,643.5,826.9,1,1,20.6,32,2.3
Hawaii,2,"1,451,043",1.451043,1.378318906,200.4,612.4,1,1,17.2,13.5,1.7
Idaho,2,"1,849,202",1.849202,1.081547608,83.8,437.5,0,0,16,22.6,1.8
Illinois,18,"12,786,580",12.78658,1.407725913,336.8,799,0,1,15.8,16.4,2.1
Indiana,11,"6,788,799",6.788799,1.620316053,210.5,713.1,1,1,21.8,24.6,2.7
Iowa,9,"3,190,571",3.190571,2.820811698,111.1,703.9,1,1,15.3,8.8,1.7
Kansas,3,"2,937,919",2.937919,1.021130943,138.8,700,1,0,20,11.2,2.4
Kentucky,2,"4,507,445",4.507445,0.44371035,210.3,617.6,1,1,27.3,23.3,2.7
Louisiana,2,"4,651,664",4.651664,0.429953668,553,1058,1,1,27.5,16.1,3
Maine,4,"1,363,557",1.363557,2.933504063,141.1,299.3,1,1,11.1,6.5,1.2
Maryland,10,"6,173,205",6.173205,1.619904085,655.4,749.6,1,1,14.1,18.4,2
Massachusetts,4,"6,995,729",6.995729,0.571777437,353.8,478.9,0,0,7.2,4.5,1.1
Michigan,14,"10,069,577",10.069577,1.390326525,199.4,690.6,0,1,15.8,17.6,1.9
Minnesota,16,"5,709,852",5.709852,2.802174207,190.4,582.5,1,1,10.2,10.6,1.2
Mississippi,1,"2,958,141",2.958141,0.338050147,392,1291.4,1,0,27.8,27.5,3.4
Missouri,12,"6,153,998",6.153998,1.949951885,248.7,806.5,0,1,21.6,15.6,2.4
Montana,5,"1,087,075",1.087075,4.599498655,75,549.8,1,1,17.2,16.4,1.5
Nebraska,2,"1,962,642",1.962642,1.019034546,145.7,640.1,0,0,16.7,9.6,2.1
Nevada,3,"3,115,648",3.115648,0.962881558,418.5,710,1,1,20.5,16.5,2.4
New Hampshire,4,"1,378,587",1.378587,2.90152163,111.5,253.3,1,1,8,4.9,1.4
New Jersey,21,"9,271,689",9.271689,2.264959491,467.8,478.2,1,1,10.3,10.6,2
New Mexico,5,"2,118,390",2.11839,2.360283045,221.8,818.4,1,1,25.3,20.8,2.4
New York,52,"20,108,296",20.108296,2.585997342,761.6,736.4,0,1,11.7,6.4,1.9
North Carolina,9,"10,449,445",10.449445,0.861289762,374.3,898.3,1,1,18.7,19.4,1.9
North Dakota,0,"779,518",0.779518,0,83.4,689.4,1,0,16.4,11.6,1.3
Ohio,22,"11,797,517",11.797517,1.864799178,240,783.5,1,1,18.9,8.5,2.2
Oklahoma,4,"3,964,912",3.964912,1.008849629,200.3,842.9,0,1,27.2,22.5,3.6
Oregon,13,"4,244,795",4.244795,3.062574282,202.4,542.9,1,1,13.3,7.3,1.9
Pennsylvania,27,"12,994,440",12.99444,2.077811741,335.1,559.3,0,1,14.1,9.1,2
Rhode Island,1,"1,096,345",1.096345,0.912121641,292,585.5,1,1,11.5,6.5,1.4
South Carolina,2,"5,131,848",5.131848,0.389723156,405,999.8,1,1,22,26.5,2.4
South Dakota,1,"887,799",0.887799,1.126381084,94.4,738.6,0,0,20.4,14.2,1.8
Tennessee,4,"6,925,619",6.925619,0.577565702,313.5,836.6,1,1,25.3,13.5,2.7
Texas,39,"29,232,474",29.232474,1.334132718,405.3,676.2,1,1,25.3,16.7,2.8
Utah,8,"3,283,785",3.283785,2.436213089,126.1,427.7,1,1,13.1,10,1.7
Vermont,7,"642,893",0.642893,10.88828156,132.6,201.8,1,1,8.8,5.6,1.5
Virginia,6,"8,636,471",8.636471,0.694728206,331.4,666.4,0,0,14.3,9.9,1.9
Washington,30,"7,724,031",7.724031,3.88398234,220.4,573.7,0,1,12.7,8.3,1.8
West Virginia,1,"1,791,420",1.79142,0.558216387,136.3,409.4,1,1,25.4,16.2,2.9
Wisconsin,24,"5,896,271",5.896271,4.070369221,134.4,640.2,0,1,13,7.3,1.5
Wyoming,0,"577,605",0.577605,0,73,408.4,1,1,20.8,21.4,2